                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     34,                 1.1495,                 1.0412,                 2.0251,                0.73676,                0.77237,                0.81948,                0.59071,                 1.0283,                0.87912,                 1.9007,                0.00948,                0.70801,              0.0075917,                 10.675,               0.084249,              0.0013039,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.1386,                 1.0267,                 2.0197,                0.80002,                0.74283,                0.83517,                0.61305,                0.98194,                0.85565,                 1.8588,                0.01078,                0.70773,              0.0068136,                 10.675,               0.084249,              0.0012929,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.1089,                 1.0086,                 1.9837,                0.76249,                0.74817,                0.82215,                0.58713,                 1.0646,                0.84867,                 1.8937,                 0.0136,                0.68987,              0.0070699,                 10.675,               0.084249,              0.0012819,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.1203,                 1.0071,                 1.9826,                0.79173,                0.74704,                0.84248,                0.60569,                  1.016,                0.84559,                 1.8838,                0.01072,                0.70292,              0.0067295,                 10.675,               0.084249,              0.0012709,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.1049,                  1.003,                 1.9662,                0.77458,                0.77444,                0.83816,                0.61439,                0.97897,                0.84723,                 1.8466,                0.00891,                0.72037,              0.0074153,                 10.675,               0.084249,              0.0012599,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.0954,                0.98754,                 1.9587,                0.83051,                 0.7654,                0.86428,                0.61894,                 1.0158,                0.82112,                 1.9221,                0.00906,                0.72595,              0.0064543,                 10.675,               0.084249,              0.0012489,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.0867,                0.97579,                 1.9442,                0.80249,                0.75266,                0.84646,                0.62182,                0.96703,                 0.8506,                 1.8471,                0.01258,                 0.7062,               0.006905,                 10.675,               0.084249,              0.0012379,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.0867,                0.98063,                 1.9436,                0.77468,                0.75908,                 0.8399,                0.61833,                0.97752,                0.82303,                 1.8155,                0.00877,                 0.7214,              0.0066799,                 10.675,               0.084249,              0.0012269,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.0718,                0.96405,                 1.9191,                0.85705,                 0.7127,                0.83396,                0.62245,                0.96184,                0.82395,                  1.832,                0.00781,                0.72421,              0.0062364,                 10.675,               0.084249,              0.0012159,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.0922,                0.95918,                 1.9453,                0.79072,                0.78814,                0.86177,                0.64013,                0.94861,                0.77409,                 1.8178,                0.01068,                0.72506,              0.0064493,                 10.675,               0.084249,              0.0012049,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.0686,                0.93363,                  1.909,                    0.8,                0.81002,                0.87111,                0.64617,                0.97252,                0.78799,                 1.8324,                0.00902,                 0.7267,              0.0062956,                 10.675,               0.084249,              0.0011939,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.0559,                0.93204,                 1.9097,                0.82257,                0.77585,                0.86573,                 0.6472,                0.94822,                0.76753,                    1.8,                0.01202,                0.71107,              0.0065009,                 10.675,               0.084249,              0.0011829,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.0658,                 0.9182,                 1.9066,                0.76999,                0.81233,                 0.8613,                0.64441,                0.94311,                0.77925,                 1.7927,                0.00982,                0.73171,              0.0059514,                 10.675,               0.084249,              0.0011719,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.0609,                0.92633,                 1.9018,                0.80638,                0.79292,                0.87013,                0.64189,                0.93415,                0.77865,                 1.7859,                0.01061,                0.73166,              0.0069079,                 10.675,               0.084249,              0.0011609,              0.0011609,              0.0011609,              0.0011609
                     48,                  1.051,                0.92355,                 1.8768,                0.82923,                0.76933,                0.86351,                0.63963,                0.94472,                0.78663,                 1.7845,                0.00912,                0.72927,              0.0058715,                 10.675,               0.084249,              0.0011499,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.0418,                0.90389,                  1.869,                 0.8128,                0.74449,                0.85176,                0.63374,                0.97795,                0.79889,                 1.7855,                 0.0133,                0.72817,              0.0056843,                 10.675,               0.084249,              0.0011389,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.0311,                0.88665,                 1.8625,                 0.8532,                0.76289,                0.87865,                0.65561,                0.95162,                0.77081,                 1.7631,                0.00982,                 0.7432,              0.0059667,                 10.675,               0.084249,              0.0011279,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.0053,                0.87375,                  1.837,                0.82807,                0.78799,                0.87592,                0.66136,                 0.9116,                0.71951,                 1.7646,                0.00997,                0.73409,              0.0060438,                 10.675,               0.084249,              0.0011169,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.0216,                0.88146,                 1.8461,                 0.8064,                0.78771,                0.87026,                0.65254,                0.92217,                0.75183,                 1.7554,                0.01519,                 0.6933,              0.0063085,                 10.675,               0.084249,              0.0011059,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.0257,                0.88167,                  1.849,                0.81794,                 0.7799,                0.87967,                0.65886,                 0.9371,                0.75945,                 1.7568,                0.00972,                0.72885,              0.0062538,                 10.675,               0.084249,              0.0010949,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.0079,                0.87727,                 1.8379,                0.83377,                 0.7918,                0.87319,                0.66113,                0.91489,                0.75095,                 1.7537,                 0.0095,                0.73111,               0.005548,                 10.675,               0.084249,              0.0010839,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.0236,                0.85576,                 1.8252,                0.83593,                0.81064,                0.88296,                0.65967,                0.93007,                0.73267,                 1.7587,                0.00915,                0.71278,               0.005212,                 10.675,               0.084249,              0.0010729,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.0085,                  0.862,                 1.8187,                0.83058,                0.80283,                0.88142,                0.66851,                0.89155,                0.72543,                  1.719,                0.00906,                0.73701,              0.0051475,                 10.675,               0.084249,              0.0010619,              0.0010619,              0.0010619,              0.0010619
                     57,                0.99046,                0.83646,                    1.8,                0.81612,                0.80668,                0.88966,                0.67851,                 0.8876,                0.74001,                  1.692,                0.00945,                0.73612,              0.0053129,                 10.675,               0.084249,              0.0010509,              0.0010509,              0.0010509,              0.0010509
                     58,                0.98839,                0.84193,                 1.8218,                0.81924,                0.80858,                0.88805,                0.67252,                0.88915,                0.72433,                 1.7063,                0.00936,                 0.7419,              0.0052476,                 10.675,               0.084249,              0.0010399,              0.0010399,              0.0010399,              0.0010399
                     59,                0.98153,                0.82324,                 1.7938,                0.84343,                0.78182,                0.88649,                0.67672,                0.89401,                0.69706,                 1.7228,                0.00771,                0.74013,              0.0056315,                 10.675,               0.084249,              0.0010289,              0.0010289,              0.0010289,              0.0010289
                     60,                0.97403,                0.82198,                 1.7845,                0.80978,                0.79821,                 0.8817,                0.66948,                0.89288,                0.73303,                 1.7168,                0.00922,                0.73655,              0.0058816,                 10.675,               0.084249,              0.0010179,              0.0010179,              0.0010179,              0.0010179
                     61,                0.96127,                0.80814,                 1.7657,                 0.8722,                0.74038,                0.87434,                0.66165,                0.92539,                0.74656,                 1.7219,                0.00777,                0.73519,              0.0060202,                 10.675,               0.084249,              0.0010069,              0.0010069,              0.0010069,              0.0010069
                     62,                0.99755,                0.81297,                 1.8068,                0.85635,                0.79563,                0.88294,                0.66759,                0.92661,                0.71465,                 1.7307,                 0.0074,                0.74248,              0.0057747,                 10.675,               0.084249,             0.00099587,             0.00099587,             0.00099587,             0.00099587
