                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     34,                 1.3697,                 1.2672,                 1.9696,                0.64022,                0.67726,                0.71559,                0.48275,                 1.2231,                 1.0836,                 1.8145,                0.01659,                0.67134,                0.01091,                 10.675,               0.084405,              0.0013039,              0.0013039,              0.0013039,              0.0013039
                     35,                  1.383,                 1.2751,                  1.974,                0.77262,                0.58846,                0.74102,                0.49985,                 1.2115,                 1.0909,                 1.8231,                0.01298,                0.67708,               0.009638,                 10.675,               0.084405,              0.0012929,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.3641,                 1.2631,                 1.9585,                0.76279,                0.63138,                0.73504,                0.48993,                 1.2456,                 1.0748,                 1.8209,                0.01347,                0.67284,               0.009416,                 10.675,               0.084405,              0.0012819,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.3618,                 1.2489,                 1.9479,                 0.6849,                0.70098,                0.76013,                0.50248,                 1.2411,                 1.0519,                 1.8398,                0.01317,                0.67406,              0.0092957,                 10.675,               0.084405,              0.0012709,              0.0012709,              0.0012709,              0.0012709
                     38,                  1.343,                 1.2323,                  1.914,                0.66537,                0.73248,                0.76405,                0.52595,                 1.2027,                 1.0078,                 1.7933,                0.01451,                0.67081,               0.010191,                 10.675,               0.084405,              0.0012599,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.3392,                  1.214,                  1.912,                0.71654,                0.69098,                0.75915,                0.50198,                 1.2225,                 1.0817,                 1.8147,                0.01236,                0.68009,              0.0092763,                 10.675,               0.084405,              0.0012489,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.3232,                 1.2031,                 1.8957,                0.73651,                0.66495,                   0.76,                0.51485,                 1.2047,                 1.0522,                 1.7909,                0.01432,                0.66877,              0.0091468,                 10.675,               0.084405,              0.0012379,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.3223,                 1.2068,                 1.9004,                0.73716,                0.66395,                0.76969,                0.52515,                 1.1884,                 1.0065,                 1.7684,                 0.0129,                0.67773,               0.009366,                 10.675,               0.084405,              0.0012269,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.3142,                 1.1812,                 1.8732,                0.73445,                0.68945,                0.76698,                0.51634,                 1.1915,                 1.0059,                 1.7886,                0.01153,                0.68555,              0.0085944,                 10.675,               0.084405,              0.0012159,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.3128,                 1.1945,                 1.8948,                0.70929,                0.70553,                0.76871,                0.52774,                  1.164,                0.98564,                  1.747,                0.01366,                0.68113,              0.0095354,                 10.675,               0.084405,              0.0012049,              0.0012049,              0.0012049,              0.0012049
                     44,                  1.306,                 1.1721,                 1.8643,                0.74176,                0.71167,                0.79023,                0.54501,                  1.172,                 1.0212,                 1.7518,                0.01365,                0.68569,              0.0090384,                 10.675,               0.084405,              0.0011939,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.2898,                 1.1773,                 1.8671,                0.74298,                 0.6927,                0.78001,                0.53102,                 1.1725,                0.97931,                 1.7725,                0.01183,                0.67556,              0.0095998,                 10.675,               0.084405,              0.0011829,              0.0011829,              0.0011829,              0.0011829
